Case Number,Classification,Date/Time Reported,Earliest Occurrence,Latest Occurrence,General Location,Disposition
17-001105,Alcohol Violation,09/09/17 1227,09/09/17 1227,09/09/17 1227,Lot G2,Arrest
17-001107,Alcohol Violation,09/09/17 1231,09/09/17 1231,09/09/17 1231,Lot G3,Arrest
17-001108,Alcohol Violation,09/09/17 1233,09/09/17 1233,09/09/17 1233,Lot G2,Arrest
17-001106,Alcohol Violation,09/09/17 1234,09/09/17 1234,09/09/17 1234,Lot G3,Arrest
17-001116,Public Intoxication,09/09/17 1238,09/09/17 1238,09/09/17 1238,Lot G3,Arrest
17-001118,Public Intoxication,09/09/17 1246,09/09/17 1246,09/09/17 1246,Lot G3,Arrest
17-001109,Alcohol Violation / False Identification,09/09/17 1249,09/09/17 1249,09/09/17 1249,Lot G3,Arrest
17-001119,Theft,09/09/17 1250,09/09/17 1250,09/09/17 1250,23 Frederiksen Court,Open
17-001111,Public Intoxication,09/09/17 1254,09/09/17 1254,09/09/17 1254,Maple Hall,Arrest
17-001110,Public Intoxication,09/09/17 1255,09/09/17 1255,09/09/17 1255,South 4th Street and Beach Avenue,Arrest
17-001113,Alcohol Violation,09/09/17 1259,09/09/17 1259,09/09/17 1259,Lot G3,Arrest
17-001112,Alcohol Violation,09/09/17 1301,09/09/17 1301,09/09/17 1301,Lot G3,Arrest
17-001114,Public Intoxication/ Unlawful Use of License / Alcohol Violation,09/09/17 1305,09/09/17 1305,09/09/17 1305,Lot G2,Arrest
17-001115,Alcohol Violation,09/09/17 1316,09/09/17 1316,09/09/17 1316,Lot G3,Arrest
17-001117,Alcohol Violation,09/09/17 1319,09/09/17 1319,09/09/17 1319,Lot G3,Arrest
17-001120,Alcohol Violation,09/09/17 1330,09/09/17 1330,09/09/17 1330,Lot G3,Arrest
17-001122,Public Intoxication,09/09/17 1334,09/09/17 1334,09/09/17 1334,Lot G3,Arrest
17-001121,Alcohol Violation,09/09/17 1336,09/09/17 1336,09/09/17 1336,Lot G3,Arrest
17-001123,Alcohol Violation,09/09/17 1345,09/09/17 1345,09/09/17 1345,Lot G3,Arrest
17-001129,Public Intoxication,09/09/17 1346,09/09/17 1346,09/09/17 1346,Lot D2,Arrest
17-001124,Alcohol Violation,09/09/17 1352,09/09/17 1352,09/09/17 1352,Lot G3,Arrest
17-001127,Alcohol Violation,09/09/17 1404,09/09/17 1404,09/09/17 1404,Lot G3,Arrest
17-001126,Public Intoxication,09/09/17 1407,09/09/17 1407,09/09/17 1407,Lot G2,Arrest
17-001128,Alcohol Violation,09/09/17 1414,09/09/17 1414,09/09/17 1414,Lot G3,Arrest
17-001130,Alcohol Violation,09/09/17 1457,09/09/17 1457,09/09/17 1457,Lot G3,Arrest
17-001131,Public Intoxication,09/09/17 1500,09/09/17 1500,09/09/17 1500,Lot G2,Arrest
17-001132,Theft,09/09/17 1507,09/09/17 1507,09/09/17 1507,Lot G3,Open
17-001137,Public Intoxication,09/09/17 1511,09/09/17 1511,09/09/17 1511,Lot G3,Arrest
17-001135,Public Intoxication/Interference / Assault,09/09/17 1524,09/09/17 1524,09/09/17 1524,Lot G3,Arrest
17-001134,Theft,09/09/17 1533,09/09/17 1533,09/09/17 1533,Lot G3,Arrest
17-001136,Alcohol Violation,09/09/17 1549,09/09/17 1549,09/09/17 1549,Lot G3,Arrest
17-001138,Operating While Intoxicated,09/09/17 1614,09/09/17 1614,09/09/17 1614,South 4th Street and Beach Avenue,Arrest
17-001141,Drug Violation/Public Intoxication,09/09/17 1632,09/09/17 1632,09/09/17 1632,Lot G3,Arrest
17-001142,Theft,09/09/17 1653,09/09/17 1653,09/09/17 1653,Lot G3,Open
17-001144,Vandalism,09/09/17 1739,09/09/17 1739,09/09/17 1739,Lot C3,Open
17-001146,Theft,09/09/17 1834,09/09/17 0000,09/09/17 1834,Jack Trice Football Stadium,Open
17-001147,Theft,09/09/17 2132,09/09/17 0000,09/09/17 2132,Jack Trice Football Stadium,Open
17-001148,Theft,09/09/17 2152,09/09/17 2152,09/09/17 2152,Memorial Union Parking Ramp,Open
17-001150,Public Intoxication/Alcohol Violation,09/10/17 0011,09/10/17 0011,09/10/17 0011,Lincoln Way and Lynn Avenue,Arrest
17-001152,Operating While Intoxicated,09/10/17 0030,09/10/17 0030,09/10/17 0030,Ironwood Court and University Boulevard,Arrest
17-001154,Alcohol Violation,09/10/17 0117,09/10/17 0117,09/10/17 0117,Hayward Avenue and Hunt Street,Arrest
17-001155,Alcohol Violation,09/10/17 0125,09/10/17 0125,09/10/17 0125,Ash Avenue and Knapp Street,Arrest
17-001156,Public Intoxication,09/10/17 0200,09/10/17 0200,09/10/17 0200,Lake LaVerne,Arrest
17-001157,Alcohol Violation,09/10/17 0205,09/10/17 0205,09/10/17 0205,Lot 59F,Arrest
17-001158,Alcohol Violation,09/10/17 0215,09/10/17 0215,09/10/17 0215,200 block of Sheldon Avenue,Arrest
17-001159,Public Intoxication/Interference,09/10/17 0241,09/10/17 0241,09/10/17 0241,Lincoln Way and Stanton Avenue,Arrest
17-001160,Public Intoxication / Harassment / Unlawful Use of License,09/10/17 0321,09/10/17 0321,09/10/17 0321,Lincoln Way and Stanton Avenue,Arrest
17-001162,Theft,09/10/17 1335,09/10/17 0000,09/10/17 1335,4020 Maricopa Drive,Open
17-001165,Vandalism,09/10/17 1655,09/10/17 0000,09/10/17 1655,Barton Hall,Open
17-001166,Harassment,09/10/17 2207,09/10/17 2207,09/10/17 2207,Armory Building,Open
17-001167,Theft,09/11/17 0059,NA,09/11/17 0059,Wallace Hall,Open
17-001168,Vandalism,09/11/17 1609,NA,09/11/17 1609,41 Frederiksen Court,Open
17-001169,Theft,09/11/17 1748,NA,09/11/17 1748,UV Laundry,Open
17-001171,Theft,09/12/17 2005,NA,09/12/17 2005,State Gymnasium,Open
17-001173,Theft,09/13/17 1617,09/13/17 0000,09/13/17 1617,Carver Hall,Open
17-001174,Drug Violation,09/13/17 2000,09/13/17 2000,09/13/17 2000,Larch Hall,Arrest
17-001175,Public Intoxication,09/14/17 0207,09/14/17 0207,09/14/17 0207,Arbor Street and State Avenue,Arrest
17-001176,Vandalism,09/14/17 1213,09/14/17 0000,09/14/17 1213,119 Stanton Avenue,Open
17-001178,Public Intoxication,09/15/17 0134,09/15/17 0134,09/15/17 0134,203 Hayward Avenue,Arrest
17-001180,Theft,09/15/17 1049,NA,10/18/17 0000,Kildee Hall,Recovered
17-001183,Hit and Run,09/15/17 1844,09/15/17 0000,09/15/17 1844,Lot 61B,Open
17-001184,Theft,09/15/17 1855,09/15/17 0000,09/15/17 1855,224 Beach Road,Open
17-001185,Theft,09/15/17 1912,09/15/17 0000,09/15/17 1912,Beyer Hall,Open
17-001186,Drug Violation,09/15/17 2200,09/15/17 2200,09/15/17 2200,Linden Hall,Arrest
17-001191,Drug Violation,09/16/17 0131,09/16/17 0131,09/16/17 0131,Lincoln Way and Stanton Avenue,Arrest
17-001192,Operating while Intoxicated,09/16/17 0145,09/16/17 0145,09/16/17 0145,200 block of Hayward Avenue,Arrest
17-001194,Theft,09/16/17 1709,NA,09/16/17 1709,Helser Hall,Open
17-001195,Theft,09/16/17 2156,NA,09/16/17 2156,Lied Recreation Center,Open
17-001196,Harassment,09/17/17 0008,09/17/17 0008,11/02/17 0802,Linden Hall,Arrest
17-001197,Operating while Intoxicated,09/17/17 0105,09/17/17 0105,09/17/17 0105,124 Hyland Avenue,Arrest
17-001198,Vandalism,09/17/17 1345,NA,09/17/17 1345,Lot 3,Open
17-001199,Vandalism,09/17/17 2015,NA,09/17/17 2015,Lot 22,Open
17-001200,Drug Violation,09/18/17 0821,09/18/17 0821,09/18/17 0821,4510 Mortensen Road,Arrest
17-001201,Vandalism,09/18/17 1043,NA,09/18/17 1043,2229 Lincoln Way,Open
17-001202,Harassment,09/18/17 1128,09/18/17 1128,09/18/17 1128,51 Frederiksen Court,Open
17-001203,Assault,09/18/17 1230,09/18/17 1230,09/18/17 1230,Thielen Student Health Center,Open
17-001205,Theft,09/18/17 1916,NA,09/18/17 1916,Hoover Hall,Open
17-001204,Theft,09/18/17 2016,NA,09/18/17 2016,Oak-Elm Residence Hall,Open
17-001206,Theft,09/19/17 1134,NA,09/19/17 1134,Marston Hall,Open
17-001207,Theft,09/19/17 1414,NA,09/19/17 1414,Carver Hall,Open
17-001212,Driving Violation,09/19/17 2134,09/19/17 2134,09/19/17 2134,Bissell Road and Pammel Drive,Arrest
17-001213,Public Intoxication,09/20/17 0141,09/20/17 0141,09/20/17 0141,Ash Avenue and Sunset Drive,Arrest
17-001217,Theft,09/20/17 2208,09/20/17 0000,09/20/17 2208,Parks Library,Open
17-001218,Drug Violation,09/20/17 2314,09/20/17 2314,09/20/17 2314,Maple Hall,Arrest
17-001219,Operating While Intoxicated,09/21/17 0216,09/21/17 0216,09/21/17 0216,South Dakota Avenue and Todd Drive,Arrest
17-001221,Drug Violation,09/21/17 1358,09/21/17 1358,09/21/17 1358,Buchanan Hall,Open
17-001220,Harassment,09/21/17 1433,09/21/17 1433,09/21/17 1433,Parks Library,Open
17-001222,Hit and Run,09/21/17 1703,09/21/17 0000,09/21/17 1703,1102 Haber Road,Open
17-001223,Harassment,09/21/17 2018,09/21/17 2018,09/21/17 2018,Eaton Hall,Open
17-001225,Operating While Intoxicated,09/22/17 0049,09/22/17 0049,09/22/17 0049,Lincoln Way and Lynn Avenue,Arrest
17-001226,Theft,09/22/17 1027,NA,09/22/17 1027,Buchanan Hall,Open
17-001228,Theft,09/22/17 1753,NA,09/22/17 1753,Buchanan Hall,Open
17-001229,Public Intoxication,09/23/17 0034,09/23/17 0034,09/23/17 0034,Knapp Street and Welch Avenue,Arrest
17-001230,Public Intoxication / Interference,09/23/17 0041,09/23/17 0041,09/23/17 0041,Wilson Hall,Arrest
17-001232,Public Intoxication,09/23/17 0306,09/23/17 0306,09/23/17 0306,Lincoln Way and Union Drive,Arrest
17-001233,Public Intoxication,09/23/17 0355,09/23/17 0355,09/23/17 0355,Lincoln Way and Lynn Avenue,Arrest
17-001235,Vandalism,09/23/17 1511,NA,09/23/17 1511,Lot 112G,Open
17-001236,Public Intoxication,09/24/17 0123,09/24/17 0123,09/24/17 0123,Lincoln Way and Lynn Avenue,Arrest
17-001238,Drug Violation,09/24/17 1755,09/24/17 1755,09/24/17 1755,Friley Hall,Arrest
17-001239,Driving Violation,09/24/17 2052,09/24/17 2052,09/24/17 2052,Gray Avenue and Lincoln Way,Arrest
17-001240,Theft,09/25/17 0931,NA,09/25/17 0931,Lot 8,Open
17-001241,Theft,09/25/17 1012,NA,09/25/17 1012,3906 Maricopa Drive,Open
17-001242,Vandalism,09/25/17 1014,NA,09/25/17 1014,2311 Kooser Drive,Open
17-001243,Drug Violation,09/25/17 1238,09/25/17 1238,09/25/17 1238,Armory Building,Open
17-001247,Theft,09/25/17 2026,09/25/17 2026,09/25/17 2026,Parks Library,Open
17-001248,Drug Violation,09/25/17 2057,09/25/17 2057,09/25/17 2057,Maple Hall,Arrest
17-001250,Theft,09/25/17 2158,09/25/17 2158,09/25/17 2158,Parks Library,Open
17-001251,Drug Violation,09/26/17 0927,09/26/17 0927,09/26/17 0927,Armory Building,Open
17-001252,Drug Violation,09/26/17 0928,09/26/17 0928,09/26/17 0928,Armory Building,Open
17-001255,Public Intoxication,09/27/17 0110,09/27/17 0110,09/27/17 0110,Baker Street and Stanton Avenue,Arrest
17-001256,Theft,09/27/17 1105,09/27/17 0000,09/27/17 0000,Beyer Hall,Unfounded
17-001257,Theft,09/27/17 1440,09/27/17 0000,09/27/17 1440,Ann Campbell Transit Station,Open
17-001258,Drug Violation,09/27/17 1653,09/27/17 1653,09/27/17 1653,Geoffroy Hall,Arrest
17-001260,Hit and Run,09/27/17 1944,09/27/17 1944,09/27/17 1944,Lot 14B,Open
17-001260,Vandalism,09/27/17 1944,NA,09/27/17 1944,Lot 14B,Open
17-001261,Vandalism,09/28/17 0019,NA,09/28/17 0019,Ames Intermodel Facility,Open
17-001262,Theft,09/28/17 1146,NA,09/28/17 1146,Black Engineering Building,Open
17-001264,Theft,09/28/17 1154,NA,09/28/17 1154,Black Engineering Building,Open
17-001265,Theft,09/28/17 1233,NA,10/12/17 0000,Union Drive Community Center,Arrest
17-001266,Alcohol Violation,09/28/17 1559,09/28/17 1559,09/28/17 1559,South 16th Street and University Boulevard,Arrest
17-001267,Alcohol Violation,09/28/17 1600,09/28/17 1600,09/28/17 1600,Lot G3,Arrest
17-001269,Alcohol Violation,09/28/17 1618,09/28/17 1618,09/28/17 1618,Lot G3,Arrest
17-001268,Alcohol Violation,09/28/17 1620,09/28/17 1620,09/28/17 1620,Lot G3,Arrest
17-001270,Alcohol Violation / Unlawful Use of License,09/28/17 1634,09/28/17 1634,09/28/17 1634,Lot G2,Arrest
17-001271,Theft,09/28/17 1636,NA,09/28/17 1636,42 Frederiksen Court,Open
17-001272,Alcohol Violation,09/28/17 1644,09/28/17 1644,09/28/17 1644,Lot G3,Arrest
17-001273,Alcohol Violation,09/28/17 1650,09/28/17 1650,09/28/17 1650,Lot G3,Arrest
17-001274,Alcohol Violation,09/28/17 1701,09/28/17 1701,09/28/17 1701,Lot G3,Arrest
17-001275,Alcohol Violation,09/28/17 1707,09/28/17 1707,09/28/17 1707,Jack Trice Football Stadium,Arrest
17-001278,Alcohol Violation,09/28/17 1718,09/28/17 1718,09/28/17 1718,Lot G3,Arrest
17-001279,Alcohol Violation,09/28/17 1723,09/28/17 1723,09/28/17 1723,Lot G3,Arrest
17-001276,Alcohol Violation,09/28/17 1728,09/28/17 1728,09/28/17 1728,Lot G3,Arrest
17-001280,Alcohol Violation,09/28/17 1728,09/28/17 1728,09/28/17 1728,Lot G3,Arrest
17-001281,Alcohol Violation,09/28/17 1743,09/28/17 1743,09/28/17 1743,Lot G3,Arrest
17-001283,Alcohol Violation,09/28/17 1754,09/28/17 1754,09/28/17 1754,Lot G3,Arrest
17-001282,Alcohol Violation,09/28/17 1755,09/28/17 1755,09/28/17 1755,Lot G3,Arrest
17-001284,Alcohol Violation,09/28/17 1759,09/28/17 1759,09/28/17 1759,Lot G3,Arrest
17-001285,Alcohol Violation,09/28/17 1800,09/28/17 1800,09/28/17 1800,Lot G7,Arrest
17-001286,Alcohol Violation,09/28/17 1812,09/28/17 1812,09/28/17 1812,Lot G7,Arrest
17-001287,Alcohol Violation,09/28/17 1813,09/28/17 1813,09/28/17 1813,Lot G3,Arrest
17-001288,Alcohol Violation,09/28/17 1815,09/28/17 1815,09/28/17 1815,Lot G3,Arrest
17-001290,Alcohol Violation,09/28/17 1822,09/28/17 1822,09/28/17 1822,Lot G3,Arrest
17-001291,Alcohol Violation,09/28/17 1842,09/28/17 1842,09/28/17 1842,Lot G3,Arrest
17-001292,Alcohol Violation,09/28/17 1846,09/28/17 1846,09/28/17 1846,Jack Trice Football Stadium,Arrest
17-001293,Alcohol Violation,09/28/17 1853,09/28/17 1853,09/28/17 1853,Lot G3,Arrest
17-001294,Alcohol Violation,09/28/17 1857,09/28/17 1857,09/28/17 1857,Jack Trice Football Stadium,Arrest
17-001295,Alcohol Violation,09/28/17 1858,09/28/17 1858,09/28/17 1858,Lot G3,Arrest
17-001296,Alcohol Violation,09/28/17 1905,09/28/17 1905,09/28/17 1905,Lot G3,Arrest
17-001297,Public Intoxication,09/28/17 1916,09/28/17 1916,09/28/17 1916,Lot G3,Arrest
17-001298,Public Intoxication,09/28/17 1931,09/28/17 1931,09/28/17 1931,Lot G3,Arrest
17-001299,Public Intoxication / Alcohol Violation / Unlawful Use of License,09/28/17 1955,09/28/17 1955,09/28/17 1955,Lot G3,Arrest
17-001300,Public Intoxication,09/28/17 2023,09/28/17 2023,09/28/17 2023,Jack Trice Football Stadium,Arrest
17-001302,Public Intoxication,09/28/17 2108,09/28/17 2108,09/28/17 2108,Jack Trice Football Stadium,Arrest
17-001303,Theft,09/28/17 2108,NA,09/28/17 2108,Bessey Hall,Open
17-001304,Transient Merchant Violation,09/28/17 2236,09/28/17 2236,09/28/17 2236,Jack Trice Football Stadium,Arrest
17-001305,Public Intoxication,09/29/17 0206,09/29/17 0206,09/29/17 0206,2401 Chamberlain Street,Arrest
17-001307,Drug Violation,09/29/17 0336,09/29/17 0336,09/29/17 0336,41 Frederiksen Court,Arrest
17-001306,Public Intoxication,09/29/17 0342,09/29/17 0342,09/29/17 0342,2500 block Chamberlain Street,Arrest
17-001308,Theft,09/29/17 1352,NA,09/29/17 1352,Gilman Hall,Unfounded
17-001310,Operating while Intoxicated,09/30/17 0202,09/30/17 0202,09/30/17 0202,Lincoln Way and Stanton Avenue,Arrest
17-001311,Operating while Intoxicated / Drug Violation,09/30/17 0307,09/30/17 0307,09/30/17 0307,13th Street and Hyland Avenue,Arrest
17-001312,Theft,09/30/17 1108,NA,09/30/17 1108,Lot 63,Open
17-001313,Sexual Assault,09/30/17 1154,09/30/17 1154,09/30/17 1154,Thielen Student Health Center,Open
17-001314,Drug Violation / False Identification,09/30/17 2244,09/30/17 2244,09/30/17 2244,13th Street and Hyland Avenue,Arrest
17-001315,Drug Violation,10/01/17 0048,10/01/17 0048,10/01/17 0048,Lincoln Way and Sheldon Avenue,Arrest
17-001317,Operating while Intoxicated,10/01/17 0526,10/01/17 0526,10/01/17 0526,Lincoln Way and Welch Road,Arrest
17-001319,Harassment,10/01/17 0948,10/01/17 0948,10/01/17 0948,Friley Hall,Open
17-001323,Theft,10/01/17 2213,10/01/17 2213,10/01/17 2213,Parks Library,Open
17-001324,Sexual Assault,10/02/17 0028,10/02/17 0028,10/02/17 0028,Helser Hall,Open
17-001325,Theft,10/02/17 1316,NA,10/02/17 1316,32 Frederiksen Court,Open
17-001326,Drug Violation,10/02/17 1352,10/02/17 1352,10/02/17 1352,Armory Building,Open
17-001327,Theft,10/02/17 1405,NA,10/02/17 1405,Friley Hall,Open
17-001328,Drug Violation,10/02/17 1444,10/02/17 1444,10/02/17 1444,Armory Building,Open
17-001330,Theft,10/02/17 1840,10/02/17 1840,10/02/17 1840,Parks Library,Open
17-001331,Sexual Assault,10/02/17 2051,NA,10/02/17 2051,Friley Hall,Open
17-001332,Drug Violation,10/02/17 2237,10/02/17 2237,10/02/17 2237,Grand Avenue and Lincoln Way,Arrest
17-001333,Theft,10/02/17 2251,10/02/17 2251,10/02/17 2251,Memorial Union Parking Ramp,Open
17-001334,Theft,10/03/17 0725,NA,10/31/17 1320,Armory Building,Arrest
17-001337,Drug Violation,10/03/17 1254,10/03/17 1254,10/23/17 0000,2519 Chamberlain Street,Arrest
17-001338,Drug Violation,10/03/17 2246,10/03/17 2246,10/03/17 2246,Lot 63,Arrest
17-001339,Public Intoxication,10/04/17 0118,10/04/17 0118,10/04/17 0118,Hilton Coliseum,Arrest
17-001341,Theft,10/04/17 1217,10/04/17 1217,10/04/17 1217,2229 Lincoln Way,Open
17-001342,Theft,10/04/17 1512,10/04/17 1512,10/04/17 1512,34 Frederiksen Court,Open
17-001343,Theft,10/04/17 1609,10/04/17 1609,10/04/17 1609,Parks Library,Open
17-001346,Criminal Trespass / Burglary /Theft / Vandalism,10/05/17 0859,10/05/17 0859,10/05/17 0859,Friley Hall,Arrest
17-001347,Theft,10/05/17 1053,10/05/17 0000,10/05/17 1053,Parks Library,Open
17-001348,Theft,10/05/17 1054,10/05/17 0000,10/05/17 1054,Parks Library,Open
17-001349,Theft,10/05/17 1057,10/05/17 0000,10/05/17 1057,Parks Library,Open
17-001350,Theft,10/05/17 1058,10/05/17 0000,10/05/17 1058,Parks Library,Open
17-001351,Theft,10/05/17 1100,10/05/17 0000,10/05/17 1100,Memorial Union,Open
17-001352,Theft,10/05/17 1101,10/05/17 0000,10/05/17 1101,Parks Library,Open
17-001354,Theft,10/05/17 1159,10/05/17 0000,10/05/17 1159,Parks Library,Open
17-001355,Theft,10/05/17 1230,10/05/17 0000,10/05/17 1230,Parks Library,Open
17-001357,Theft,10/05/17 1506,10/05/17 1506,10/05/17 1506,2229 Lincoln Way,Arrest
17-001358,Public Intoxication,10/06/17 0227,10/06/17 0227,10/06/17 0227,Howard Avenue and West Street,Arrest
17-001361,Harassment,10/06/17 1317,10/06/17 1317,10/06/17 1317,Wallace Hall,Open
17-001362,Operating while Intoxicated,10/06/17 1911,10/06/17 1911,10/06/17 1911,Ash Avenue and Mortensen Parkway,Arrest
17-001363,Public Intoxication,10/06/17 2237,10/06/17 2237,10/06/17 2237,Willow Hall,Arrest
17-001364,Public Intoxication / False License,10/07/17 0011,10/07/17 0011,10/07/17 0011,211 Lynn Avenue,Arrest
17-001365,Public Intoxication,10/07/17 0241,10/07/17 0241,10/07/17 0241,Beyer Court and Union Drive,Arrest
17-001367,Public Intoxication / Weapon Violation / Impersonation,10/07/17 0634,10/07/17 0634,10/07/17 0634,Friley Hall,Arrest
17-001369,Public Intoxication,10/07/17 2120,10/07/17 2120,10/07/17 2120,Willow Hall,Arrest
17-001372,Public Intoxication,10/08/17 0044,10/08/17 0044,10/08/17 0044,Linden Hall,Arrest
17-001373,Operating While Intoxicated,10/08/17 0143,10/08/17 0143,10/08/17 0143,Ash Avenue and Knapp Street,Arrest
17-001379,Driving Violation,10/09/17 0234,10/09/17 0234,10/09/17 0234,Lot 1,Arrest
17-001380,License Violation,10/09/17 0856,10/09/17 0856,10/09/17 0856,Hayward Avenue and Lincoln Way,Arrest
17-001382,Sexual Assault,10/10/17 1132,10/04/17 0000,10/10/17 1132,University Village,Open
17-001383,Theft,10/10/17 1537,10/10/17 1537,10/10/17 1537,Martin Hall,Open
17-001385,Operating while Intoxicated / Drug Violation,10/11/17 0109,10/11/17 0109,10/11/17 0109,Baughman Road and Dotson Drive,Arrest
17-001386,Operating while Intoxicated,10/12/17 0153,10/12/17 0153,10/12/17 0153,Hayward Avenue and Lincoln Way,Arrest
17-001388,Assault,10/12/17 1316,10/12/17 1316,10/13/17 0000,2601 Osborn Drive,Arrest
17-001389,Drug Violation,10/13/17 0038,10/13/17 0038,10/13/17 0038,Beach Avenue and Sunset Drive,Arrest
17-001390,Operating while Intoxicated,10/13/17 0228,10/13/17 0228,10/13/17 0228,Lot 61G,Arrest
17-001391,Theft,10/13/17 1147,10/13/17 1147,10/13/17 1147,Armory Building,Open
17-001393,Drug Violation,10/13/17 1441,10/13/17 1441,10/13/17 1441,Armory Building,Open
17-001394,Vandalism,10/13/17 1744,10/13/17 1744,10/13/17 1744,Lot 79,Open
17-001395,Alcohol Violation,10/13/17 2250,10/13/17 2250,10/13/17 2250,Knapp Street and Lynn Avenue,Arrest
17-001396,Alcohol Violation,10/13/17 2331,10/13/17 2331,10/13/17 2331,Geoffroy Hall,Arrest
17-001397,Public Intoxication,10/14/17 0059,10/14/17 0059,10/14/17 0059,Knapp Street and Stanton Avenue,Arrest
17-001398,Vandalism,10/14/17 0115,10/14/17 0115,10/14/17 0115,Ames Intermodel Facility,Open
17-001400,Alcohol Violation,10/14/17 1006,10/14/17 1006,10/14/17 1006,Scheman Building,Arrest
17-001401,Alcohol Violation,10/14/17 1045,10/14/17 1045,10/14/17 1045,Scheman Building,Arrest
17-001402,Alcohol Violation,10/14/17 1056,10/14/17 1056,10/14/17 1056,Scheman Building,Arrest
17-001403,Alcohol Violation,10/14/17 1114,10/14/17 1114,10/14/17 1114,Scheman Building,Arrest
17-001405,Alcohol Violation,10/14/17 1124,10/14/17 1124,10/14/17 1124,Scheman Building,Arrest
17-001406,Alcohol Violation,10/14/17 1308,10/14/17 1308,10/14/17 1308,Scheman Building,Arrest
17-001407,Public Intoxication,10/14/17 2015,10/14/17 2015,10/14/17 2015,College of Design,Arrest
17-001409,Harassment,10/14/17 2316,10/14/17 2316,10/14/17 2316,Friley Hall,Open
17-001410,Public Intoxication,10/15/17 0125,10/15/17 0125,10/15/17 0125,Lincoln Way and South Sheldon Avenue,Arrest
17-001411,Public Intoxication,10/15/17 0251,10/15/17 0251,10/15/17 0251,Ames Intermodel Facility,Arrest
17-001412,Operating while Intoxicated / Drug Violation,10/16/17 0022,10/16/17 0022,10/16/17 0022,Campus Avenue and Lincoln Way,Arrest
17-001413,Vandalism,10/16/17 0710,10/16/17 0710,10/16/17 0710,Physics Hall,Open
